Date,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,E-scooter Count
04/10/2018,6,13.2,73,1.1,1900,8.4,0.0,0.0,0.0,Autumn,No Holiday,No,0
27/08/2018,18,24.8,83,0.8,1947,21.7,0.26,0.0,0.0,Summer,No Holiday,Yes,2153
21/09/2018,17,21.2,77,1.2,2000,16.9,0.31,0.0,0.0,Autumn,No Holiday,Yes,1904
11/08/2018,18,34.4,40,1.8,2000,18.8,0.65,0.0,0.0,Summer,No Holiday,Yes,1274
31/03/2018,6,9.4,75,0.9,1117,5.1,0.0,0.0,0.0,Spring,No Holiday,Yes,142
02/05/2018,18,13.6,89,2.3,638,11.8,0.09,0.0,0.0,Spring,No Holiday,Yes,518
19/11/2018,23,4.2,42,2.2,1360,-7.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,629
28/01/2018,4,-7.6,37,1.6,1966,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes,38
26/02/2018,0,-0.9,60,0.7,1844,-7.7,0.0,0.0,0.0,Winter,No Holiday,Yes,135
28/03/2018,6,9.6,84,0.7,301,7.0,0.0,0.0,0.0,Spring,No Holiday,Yes,258
25/09/2018,5,11.5,70,0.5,2000,6.2,0.0,0.0,0.0,Autumn,Holiday,Yes,105
21/01/2018,15,5.4,20,2.2,1890,-15.8,0.8,0.0,0.0,Winter,No Holiday,Yes,389
10/06/2018,15,24.8,49,1.2,2000,13.3,1.34,0.0,0.0,Summer,No Holiday,Yes,2182
23/03/2018,15,12.1,30,3.0,1120,-4.9,2.41,0.0,0.0,Spring,No Holiday,Yes,849
03/06/2018,5,17.1,66,0.3,1370,10.6,0.0,0.0,0.0,Summer,No Holiday,Yes,193
16/08/2018,22,25.9,45,2.1,2000,13.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1943
22/06/2018,12,29.8,28,1.3,1777,9.3,3.21,0.0,0.0,Summer,No Holiday,Yes,1116
01/07/2018,21,21.8,97,0.6,692,21.2,0.0,3.5,0.0,Summer,No Holiday,Yes,17
25/07/2018,22,28.8,76,2.8,1231,24.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1767
28/05/2018,14,28.7,36,2.6,1853,12.1,3.21,0.0,0.0,Spring,No Holiday,Yes,1128
16/11/2018,16,11.8,66,3.0,687,5.6,0.44,0.0,0.0,Autumn,No Holiday,Yes,1126
26/07/2018,5,27.4,78,0.8,1301,23.2,0.0,0.0,0.0,Summer,No Holiday,Yes,306
07/09/2018,21,20.6,48,2.1,2000,9.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1915
23/10/2018,12,11.5,90,1.2,973,9.9,0.06,5.0,0.0,Autumn,No Holiday,Yes,363
13/01/2018,2,-6.4,40,0.9,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes,145
26/01/2018,21,-14.1,36,1.8,1869,-25.9,0.0,0.0,0.3,Winter,No Holiday,Yes,130
03/11/2018,23,9.2,65,1.2,1064,2.9,0.0,0.0,0.0,Autumn,No Holiday,No,0
11/12/2017,19,-8.6,45,3.9,2000,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,371
26/10/2018,16,14.5,81,1.8,1588,11.2,0.78,0.0,0.0,Autumn,No Holiday,Yes,900
22/04/2018,13,20.5,35,1.1,2000,4.4,1.13,0.0,0.0,Spring,No Holiday,Yes,842
08/01/2018,20,1.0,89,1.9,407,-0.6,0.0,0.0,1.0,Winter,No Holiday,Yes,144
20/09/2018,17,19.3,76,2.1,2000,14.9,0.21,0.0,0.0,Autumn,No Holiday,Yes,1290
28/11/2018,8,2.1,29,1.1,1337,-14.1,0.02,0.0,0.0,Autumn,No Holiday,Yes,1540
16/12/2017,15,-3.3,22,5.0,2000,-22.0,0.86,0.0,0.0,Winter,No Holiday,Yes,291
21/10/2018,20,13.8,52,1.6,1341,4.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1306
02/06/2018,4,18.3,66,1.3,929,11.8,0.0,0.0,0.0,Summer,No Holiday,Yes,312
04/10/2018,13,23.4,39,1.4,2000,8.6,1.72,0.0,0.0,Autumn,No Holiday,No,0
14/10/2018,22,13.5,71,1.7,1711,8.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1029
15/04/2018,13,13.5,46,3.4,1325,2.0,2.71,0.0,0.0,Spring,No Holiday,Yes,1229
02/01/2018,3,-2.5,62,0.4,1626,-8.7,0.0,0.0,0.0,Winter,No Holiday,Yes,41
25/08/2018,18,27.1,56,3.0,1987,17.5,0.87,0.0,0.0,Summer,No Holiday,Yes,2080
01/04/2018,4,12.1,69,0.3,827,6.5,0.0,0.0,0.0,Spring,No Holiday,Yes,147
07/11/2018,18,14.4,77,1.0,912,10.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1347
03/03/2018,23,9.4,74,1.6,559,4.9,0.0,0.0,0.0,Spring,No Holiday,Yes,215
24/03/2018,4,5.1,54,1.2,550,-3.4,0.0,0.0,0.0,Spring,No Holiday,Yes,122
07/10/2018,14,20.2,42,2.8,1832,6.8,1.87,0.0,0.0,Autumn,No Holiday,Yes,1987
27/12/2017,10,-8.5,29,2.4,1992,-23.4,0.56,0.0,0.0,Winter,No Holiday,Yes,146
27/02/2018,13,5.8,39,0.6,931,-7.1,0.35,0.0,0.0,Winter,No Holiday,Yes,335
10/07/2018,8,21.7,89,0.5,2000,19.8,0.31,0.0,0.0,Summer,No Holiday,Yes,2017
03/07/2018,9,25.7,76,0.8,1920,21.1,1.11,0.0,0.0,Summer,No Holiday,Yes,1156
05/07/2018,2,23.6,80,1.5,879,19.9,0.0,0.0,0.0,Summer,No Holiday,Yes,568
01/05/2018,15,23.1,61,2.5,556,15.1,1.5,0.0,0.0,Spring,Holiday,Yes,1639
09/12/2017,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,384
31/05/2018,15,26.9,37,2.7,1850,10.9,2.9,0.0,0.0,Spring,No Holiday,Yes,1280
26/04/2018,21,13.4,60,2.2,1517,5.7,0.0,0.0,0.0,Spring,No Holiday,Yes,1447
28/02/2018,14,5.7,80,3.7,348,2.5,0.13,0.0,0.0,Winter,No Holiday,Yes,17
04/02/2018,1,-10.5,48,3.1,2000,-19.4,0.0,0.0,0.0,Winter,No Holiday,Yes,90
01/03/2018,1,2.1,97,0.2,859,1.6,0.0,0.0,0.0,Spring,Holiday,Yes,147
12/11/2018,3,4.6,65,0.1,2000,-1.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,122
17/06/2018,22,22.2,70,0.5,1056,16.4,0.0,0.0,0.0,Summer,No Holiday,Yes,1819
21/03/2018,15,2.2,85,1.3,2000,0.0,0.41,0.5,0.0,Spring,No Holiday,Yes,184
07/12/2017,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,Winter,No Holiday,Yes,430
22/03/2018,22,3.9,66,2.7,990,-1.8,0.0,0.0,0.0,Spring,No Holiday,Yes,621
09/05/2018,11,17.6,40,1.4,1955,3.8,2.88,0.0,0.0,Spring,No Holiday,Yes,1015
21/07/2018,18,35.0,42,2.9,1953,20.1,1.26,0.0,0.0,Summer,No Holiday,Yes,1202
06/03/2018,11,6.3,41,1.3,1519,-6.0,2.12,0.0,0.0,Spring,No Holiday,Yes,475
31/05/2018,16,27.3,38,2.9,1784,11.7,2.41,0.0,0.0,Spring,No Holiday,Yes,1550
23/10/2018,14,15.1,71,0.9,973,9.8,1.62,0.0,0.0,Autumn,No Holiday,Yes,837
28/08/2018,7,22.6,88,0.8,2000,20.5,0.06,0.0,0.0,Summer,No Holiday,Yes,1182
11/05/2018,22,16.2,54,1.1,1327,6.8,0.0,0.0,0.0,Spring,No Holiday,Yes,1556
15/02/2018,23,-2.5,31,1.4,1996,-17.3,0.0,0.0,0.0,Winter,Holiday,Yes,92
11/10/2018,14,13.4,32,4.9,2000,-2.9,1.78,0.0,0.0,Autumn,No Holiday,Yes,991
19/09/2018,9,21.5,61,0.8,1774,13.6,0.92,0.0,0.0,Autumn,No Holiday,No,0
16/01/2018,4,0.8,65,0.7,502,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,51
27/10/2018,2,9.5,58,3.0,2000,1.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,478
11/03/2018,13,10.3,31,2.1,885,-6.1,2.67,0.0,0.0,Spring,No Holiday,Yes,843
16/03/2018,18,10.0,33,1.2,2000,-5.5,0.68,0.0,0.0,Spring,No Holiday,Yes,1641
25/03/2018,13,14.6,38,1.9,315,0.4,2.75,0.0,0.0,Spring,No Holiday,Yes,784
01/10/2018,22,13.9,69,0.5,2000,8.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1501
03/08/2018,5,30.5,72,0.5,1084,24.8,0.0,0.0,0.0,Summer,No Holiday,Yes,266
18/03/2018,21,8.8,72,0.9,501,4.0,0.0,0.0,0.0,Spring,No Holiday,Yes,71
13/10/2018,0,9.1,69,0.9,1885,3.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,835
07/07/2018,22,22.6,51,1.7,2000,11.9,0.0,0.0,0.0,Summer,No Holiday,Yes,1921
24/02/2018,8,0.0,77,2.8,289,-3.5,0.06,0.0,0.0,Winter,No Holiday,Yes,203
16/03/2018,22,4.9,46,0.8,2000,-5.7,0.0,0.0,0.0,Spring,No Holiday,Yes,660
19/06/2018,16,26.1,46,3.0,1728,13.5,1.55,0.0,0.0,Summer,No Holiday,Yes,1700
10/07/2018,14,25.5,77,0.8,1957,21.1,0.75,0.0,0.0,Summer,No Holiday,Yes,1142
16/10/2018,10,14.4,45,0.6,1206,2.6,1.28,0.0,0.0,Autumn,No Holiday,Yes,854
15/02/2018,14,2.9,14,4.3,2000,-22.0,2.29,0.0,0.0,Winter,Holiday,Yes,270
30/09/2018,20,16.0,39,2.9,2000,2.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
14/12/2017,8,-10.4,54,1.1,1432,-17.9,0.01,0.0,0.0,Winter,No Holiday,Yes,621
22/09/2018,20,20.4,52,1.2,2000,10.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1604
25/10/2018,7,7.3,85,1.4,1039,4.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1251
17/01/2018,10,4.3,58,0.5,401,-3.2,0.23,0.0,0.0,Winter,No Holiday,Yes,212
02/03/2018,2,-5.3,52,1.2,1434,-13.6,0.0,0.0,0.0,Spring,No Holiday,Yes,71
16/08/2018,9,30.6,55,1.1,2000,20.5,1.46,0.0,0.0,Summer,No Holiday,Yes,876
17/05/2018,3,21.8,98,0.6,113,21.4,0.0,2.5,0.0,Spring,No Holiday,Yes,38
15/06/2018,23,19.6,55,1.4,2000,10.3,0.0,0.0,0.0,Summer,No Holiday,Yes,1593
15/06/2018,17,26.1,45,1.4,2000,13.2,1.26,0.0,0.0,Summer,No Holiday,Yes,2460
22/10/2018,22,12.7,60,0.0,680,5.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1360
10/05/2018,10,17.3,52,2.3,1235,7.3,2.38,0.0,0.0,Spring,No Holiday,No,0
08/01/2018,1,0.9,42,0.2,1333,-10.5,0.0,0.0,0.0,Winter,No Holiday,Yes,109
29/11/2018,16,5.8,39,2.6,1489,-7.1,0.1,0.0,0.0,Autumn,No Holiday,Yes,748
07/01/2018,16,2.6,32,1.0,1381,-12.4,0.27,0.0,0.0,Winter,No Holiday,Yes,333
11/09/2018,23,20.9,53,1.8,2000,10.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1240
21/05/2018,11,20.9,27,1.7,2000,1.1,3.11,0.0,0.0,Spring,No Holiday,Yes,1129
09/04/2018,21,10.3,38,0.5,1433,-3.4,0.0,0.0,0.0,Spring,No Holiday,Yes,1232
24/03/2018,12,10.6,52,3.1,390,1.1,2.27,0.0,0.0,Spring,No Holiday,Yes,806
27/10/2018,19,8.0,42,2.9,2000,-4.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,864
10/05/2018,23,12.4,85,1.1,369,9.9,0.0,0.0,0.0,Spring,No Holiday,No,0
20/07/2018,3,25.4,84,0.9,1174,22.4,0.0,0.0,0.0,Summer,No Holiday,Yes,428
12/01/2018,11,-11.2,31,2.4,1944,-25.0,0.94,0.0,0.0,Winter,No Holiday,Yes,140
13/02/2018,5,-6.7,64,1.6,1981,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes,51
22/04/2018,0,15.9,35,0.3,1995,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,826
07/02/2018,3,-12.5,49,1.5,1885,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,51
27/07/2018,17,34.7,59,2.7,1095,25.5,1.49,0.0,0.0,Summer,No Holiday,Yes,1289
07/05/2018,18,25.1,32,2.4,1899,7.2,1.1,0.0,0.0,Spring,No Holiday,Yes,2268
22/02/2018,17,4.6,52,3.9,1059,-4.4,0.5,0.0,0.0,Winter,No Holiday,Yes,465
01/09/2018,21,26.0,52,1.4,2000,15.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1110
04/02/2018,23,-10.3,48,2.0,2000,-19.2,0.0,0.0,0.0,Winter,No Holiday,Yes,77
04/03/2018,6,8.6,96,0.7,224,7.9,0.0,0.2,0.0,Spring,No Holiday,Yes,20
01/10/2018,6,13.3,56,2.3,2000,4.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,632
23/04/2018,7,9.0,95,2.3,294,8.2,0.0,6.0,0.0,Spring,No Holiday,Yes,17
25/10/2018,13,19.4,32,1.1,1787,2.2,2.31,0.0,0.0,Autumn,No Holiday,Yes,1154
14/07/2018,4,25.1,82,1.5,1336,21.8,0.0,0.0,0.0,Summer,No Holiday,Yes,307
24/08/2018,1,25.7,80,2.0,2000,21.9,0.0,0.2,0.0,Summer,No Holiday,Yes,208
02/07/2018,4,20.8,97,1.0,2000,20.3,0.0,4.0,0.0,Summer,No Holiday,Yes,58
12/10/2018,5,6.0,72,1.3,2000,1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,183
04/07/2018,21,26.2,70,2.2,1908,20.2,0.0,0.0,0.0,Summer,No Holiday,Yes,2274
25/03/2018,16,16.5,39,3.1,366,2.4,1.91,0.0,0.0,Spring,No Holiday,Yes,1031
17/09/2018,6,18.8,88,1.2,798,16.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,625
05/01/2018,2,-5.3,52,1.6,1481,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,118
18/03/2018,12,9.8,46,1.2,710,-1.2,1.13,0.0,0.0,Spring,No Holiday,Yes,751
02/03/2018,16,5.2,21,2.1,1721,-15.4,1.97,0.0,0.0,Spring,No Holiday,Yes,574
21/10/2018,18,16.2,41,1.4,1907,2.9,0.06,0.0,0.0,Autumn,No Holiday,Yes,1618
29/05/2018,3,20.0,58,1.8,1279,11.4,0.0,0.0,0.0,Spring,No Holiday,Yes,285
15/12/2017,16,0.0,37,0.6,994,-12.9,0.13,0.0,0.0,Winter,No Holiday,Yes,354
15/07/2018,0,26.0,82,1.9,1674,22.6,0.0,0.0,0.0,Summer,No Holiday,Yes,1143
13/07/2018,16,30.0,67,2.0,1698,23.1,1.46,0.0,0.0,Summer,No Holiday,Yes,1291
17/11/2018,20,5.4,43,2.7,1913,-6.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,644
26/11/2018,0,3.3,85,1.1,351,1.0,0.0,0.0,0.3,Autumn,No Holiday,Yes,387
06/02/2018,0,-10.6,47,3.5,1803,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes,126
22/09/2018,23,17.9,66,1.0,2000,11.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1108
19/07/2018,23,27.2,78,1.9,1601,23.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1318
20/04/2018,21,19.2,50,1.5,842,8.5,0.0,0.0,0.0,Spring,No Holiday,Yes,1213
17/05/2018,12,21.7,96,0.8,1773,21.0,0.81,1.5,0.0,Spring,No Holiday,Yes,467
09/04/2018,11,7.5,54,0.9,1013,-1.2,2.49,0.0,0.0,Spring,No Holiday,Yes,644
08/12/2017,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes,347
25/06/2018,23,27.2,55,0.7,920,17.3,0.0,0.0,0.0,Summer,No Holiday,Yes,1437
16/02/2018,22,-0.6,70,3.4,1204,-5.4,0.0,0.0,0.0,Winter,Holiday,Yes,116
04/11/2018,11,14.8,46,2.0,768,3.2,1.83,0.0,0.0,Autumn,No Holiday,Yes,963
01/05/2018,14,23.0,64,2.8,520,15.8,1.59,0.0,0.0,Spring,Holiday,Yes,1536
07/06/2018,14,28.2,44,1.7,644,14.7,3.11,0.0,0.0,Summer,No Holiday,Yes,1116
22/01/2018,4,0.0,32,0.4,2000,-14.7,0.0,0.0,0.0,Winter,No Holiday,Yes,31
28/09/2018,16,21.9,46,1.2,1995,9.7,1.67,0.0,0.0,Autumn,No Holiday,No,0
03/09/2018,7,23.9,71,0.4,2000,18.3,0.02,0.0,0.0,Autumn,No Holiday,Yes,1287
10/05/2018,20,13.6,82,2.1,520,10.5,0.02,0.0,0.0,Spring,No Holiday,No,0
06/09/2018,23,23.9,71,4.7,1982,18.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,562
12/11/2018,8,3.3,69,0.0,2000,-1.8,0.06,0.0,0.0,Autumn,No Holiday,Yes,1699
29/04/2018,16,22.2,23,3.7,1183,0.0,2.28,0.0,0.0,Spring,No Holiday,Yes,2044
30/06/2018,20,24.2,88,0.8,1276,22.0,0.06,0.0,0.0,Summer,No Holiday,Yes,778
29/06/2018,13,26.8,65,2.0,732,19.6,2.37,0.0,0.0,Summer,No Holiday,Yes,1117
07/01/2018,6,-5.5,52,0.7,1503,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,38
22/10/2018,11,16.7,37,0.7,1074,1.9,1.74,0.0,0.0,Autumn,No Holiday,Yes,941
26/10/2018,20,12.2,67,5.4,1956,6.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1003
12/09/2018,11,24.8,44,2.1,1955,11.7,2.55,0.0,0.0,Autumn,No Holiday,Yes,1017
16/08/2018,1,28.2,70,1.0,2000,22.2,0.0,0.0,0.0,Summer,No Holiday,Yes,535
12/07/2018,20,26.9,80,1.5,1806,23.1,0.09,0.0,0.0,Summer,No Holiday,Yes,2214
06/07/2018,14,27.0,52,2.1,2000,16.2,2.51,0.0,0.0,Summer,No Holiday,Yes,1209
18/01/2018,5,2.6,82,2.0,229,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,68
03/10/2018,13,22.5,40,2.6,1854,8.2,2.64,0.0,0.0,Autumn,Holiday,Yes,1849
29/05/2018,22,19.9,85,1.7,559,17.2,0.0,0.0,0.0,Spring,No Holiday,Yes,1121
07/12/2017,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,Winter,No Holiday,Yes,83
03/11/2018,4,6.3,72,1.0,1104,1.6,0.0,0.0,0.0,Autumn,No Holiday,No,0
21/12/2017,21,-0.4,74,0.6,1065,-4.4,0.0,0.0,0.8,Winter,No Holiday,Yes,248
20/08/2018,14,32.1,45,2.8,1966,18.6,1.51,0.0,0.0,Summer,No Holiday,Yes,816
21/08/2018,4,25.3,70,6.9,925,19.4,0.0,0.4,0.0,Summer,No Holiday,Yes,49
08/12/2017,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,230
27/06/2018,16,25.0,74,2.2,578,20.0,0.52,0.0,0.0,Summer,No Holiday,Yes,1618
25/05/2018,22,18.3,54,1.7,1394,8.8,0.0,0.0,0.0,Spring,No Holiday,Yes,1630
22/08/2018,2,24.2,79,0.6,1882,20.3,0.0,0.0,0.0,Summer,No Holiday,Yes,512
22/06/2018,8,21.9,58,1.2,771,13.2,1.29,0.0,0.0,Summer,No Holiday,Yes,2283
14/06/2018,15,24.6,57,1.8,1664,15.5,1.54,0.0,0.0,Summer,No Holiday,Yes,1292
18/10/2018,17,16.9,44,1.6,2000,4.5,0.44,0.0,0.0,Autumn,No Holiday,Yes,1804
24/09/2018,14,21.3,30,4.3,2000,3.0,2.78,0.0,0.0,Autumn,Holiday,Yes,1099
04/04/2018,1,14.8,96,1.7,209,14.1,0.0,0.0,0.0,Spring,No Holiday,Yes,113
07/08/2018,14,34.0,50,1.2,1744,22.1,1.68,0.0,0.0,Summer,No Holiday,Yes,658
29/03/2018,3,12.7,80,0.4,384,9.3,0.0,0.0,0.0,Spring,No Holiday,Yes,170
09/09/2018,18,26.0,35,0.3,2000,9.3,0.2,0.0,0.0,Autumn,No Holiday,Yes,2368
11/11/2018,12,10.6,72,2.0,365,5.7,0.29,0.0,0.0,Autumn,No Holiday,Yes,769
30/09/2018,12,20.8,47,3.1,1665,9.0,2.0,0.0,0.0,Autumn,No Holiday,No,0
07/02/2018,19,-5.2,33,2.6,2000,-19.0,0.0,0.0,0.0,Winter,No Holiday,Yes,280
15/03/2018,0,16.0,69,2.4,1863,10.3,0.0,0.0,0.0,Spring,No Holiday,Yes,466
21/05/2018,18,21.6,48,2.5,1884,10.1,0.61,0.0,0.0,Spring,No Holiday,Yes,3069
24/08/2018,15,24.0,94,3.1,1188,22.9,0.41,0.5,0.0,Summer,No Holiday,Yes,405
07/08/2018,11,31.4,59,0.8,2000,22.4,1.3,0.0,0.0,Summer,No Holiday,Yes,657
13/06/2018,5,18.6,76,0.4,1957,14.2,0.0,0.0,0.0,Summer,No Holiday,Yes,290
29/01/2018,16,-5.5,28,4.3,1926,-21.1,0.78,0.0,0.0,Winter,No Holiday,Yes,195
27/03/2018,19,15.0,67,2.6,452,8.9,0.07,0.0,0.0,Spring,No Holiday,Yes,1020
03/03/2018,20,11.1,51,3.7,1957,1.3,0.0,0.0,0.0,Spring,No Holiday,Yes,631
29/11/2018,1,1.9,32,1.4,1999,-13.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,485
01/01/2018,9,-4.3,39,0.7,1973,-16.2,0.15,0.0,0.0,Winter,Holiday,Yes,121
21/08/2018,18,30.3,56,1.7,2000,20.5,0.8,0.0,0.0,Summer,No Holiday,Yes,2830
06/06/2018,15,27.6,49,3.7,656,15.9,2.79,0.0,0.0,Summer,Holiday,Yes,1674
24/06/2018,5,20.3,87,1.0,251,18.0,0.0,0.0,0.0,Summer,No Holiday,Yes,235
24/10/2018,11,15.7,53,1.0,1172,6.1,1.99,0.0,0.0,Autumn,No Holiday,Yes,940
21/07/2018,21,30.2,54,1.8,2000,19.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1731
12/02/2018,0,-7.7,52,3.2,1982,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes,103
31/01/2018,20,-2.6,36,3.1,2000,-15.6,0.0,0.0,1.6,Winter,No Holiday,Yes,229
08/10/2018,12,19.2,31,0.5,1994,1.6,2.4,0.0,0.0,Autumn,No Holiday,Yes,1238
20/02/2018,8,-2.1,71,1.7,610,-6.6,0.06,0.0,0.0,Winter,No Holiday,Yes,727
04/04/2018,20,12.8,56,2.0,2000,4.2,0.0,0.0,0.0,Spring,No Holiday,Yes,1374
24/09/2018,3,15.5,63,0.3,2000,8.4,0.0,0.0,0.0,Autumn,Holiday,Yes,216
25/10/2018,10,13.4,53,1.1,1768,4.0,1.53,0.0,0.0,Autumn,No Holiday,Yes,779
30/06/2018,16,27.9,69,0.5,880,21.6,0.61,0.0,0.0,Summer,No Holiday,Yes,1317
20/04/2018,9,15.8,42,0.9,683,2.8,1.37,0.0,0.0,Spring,No Holiday,Yes,962
14/01/2018,8,-3.8,79,0.8,412,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,81
29/08/2018,0,22.7,96,0.3,2000,22.0,0.0,1.0,0.0,Summer,No Holiday,Yes,208
19/02/2018,15,6.3,35,2.6,991,-8.0,1.2,0.0,0.0,Winter,No Holiday,Yes,392
17/11/2018,22,4.4,43,1.1,2000,-7.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,655
04/04/2018,14,17.9,42,1.3,1981,4.7,3.04,0.0,0.0,Spring,No Holiday,Yes,1096
09/10/2018,4,11.0,63,0.8,2000,4.2,0.0,0.0,0.0,Autumn,Holiday,No,0
08/09/2018,1,18.9,55,2.3,2000,9.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1001
05/06/2018,16,28.8,38,3.1,1027,13.0,2.14,0.0,0.0,Summer,No Holiday,Yes,1434
22/10/2018,3,10.2,60,1.0,1796,2.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,175
21/03/2018,13,4.0,64,2.0,1834,-2.2,0.75,0.0,0.0,Spring,No Holiday,Yes,196
20/06/2018,16,28.2,48,3.9,1103,16.1,2.55,0.0,0.0,Summer,No Holiday,Yes,1600
21/12/2017,13,3.2,42,1.8,1349,-8.5,1.08,0.0,1.8,Winter,No Holiday,Yes,285
09/03/2018,7,1.6,76,0.7,1024,-2.1,0.0,0.0,0.0,Spring,No Holiday,Yes,574
20/12/2017,10,-5.4,56,1.1,1751,-12.8,0.28,0.0,2.0,Winter,No Holiday,Yes,162
19/09/2018,19,23.5,58,0.4,1836,14.7,0.0,0.0,0.0,Autumn,No Holiday,No,0
15/07/2018,15,32.9,49,2.6,1631,20.7,2.81,0.0,0.0,Summer,No Holiday,Yes,946
24/10/2018,5,8.5,87,1.2,1046,6.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,164
04/06/2018,3,19.6,51,1.0,1923,9.1,0.0,0.0,0.0,Summer,No Holiday,Yes,244
08/03/2018,22,2.8,74,2.1,469,-1.3,0.0,0.0,0.0,Spring,No Holiday,Yes,498
06/08/2018,20,31.3,65,2.0,1586,23.9,0.02,0.0,0.0,Summer,No Holiday,Yes,1537
26/05/2018,15,29.4,30,2.0,882,10.0,2.82,0.0,0.0,Spring,No Holiday,Yes,1575
12/08/2018,10,31.6,51,2.3,1969,20.2,2.3,0.0,0.0,Summer,No Holiday,Yes,483
22/03/2018,11,6.9,46,2.1,1541,-3.9,2.33,0.0,0.0,Spring,No Holiday,Yes,565
29/04/2018,10,17.5,35,1.8,1570,1.8,2.26,0.0,0.0,Spring,No Holiday,Yes,787
25/03/2018,22,8.8,79,2.0,203,5.3,0.0,0.0,0.0,Spring,No Holiday,Yes,424
24/05/2018,2,12.5,54,0.7,1500,3.4,0.0,0.0,0.0,Spring,No Holiday,Yes,385
13/08/2018,14,33.6,55,1.1,1375,23.3,0.94,0.0,0.0,Summer,No Holiday,Yes,651
17/09/2018,11,23.8,54,2.1,1626,13.9,2.55,0.0,0.0,Autumn,No Holiday,Yes,954
05/01/2018,22,-3.8,53,1.3,1300,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes,281
06/01/2018,20,-2.1,41,1.1,1578,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,189
04/12/2017,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,Winter,No Holiday,Yes,391
16/08/2018,11,33.5,48,2.4,1968,20.9,2.71,0.0,0.0,Summer,No Holiday,Yes,672
01/06/2018,1,19.5,65,0.4,1662,12.7,0.0,0.0,0.0,Summer,No Holiday,Yes,776
06/06/2018,1,20.6,63,0.6,1670,13.3,0.0,0.0,0.0,Summer,Holiday,Yes,1031
23/03/2018,1,2.5,75,1.5,786,-1.4,0.0,0.0,0.0,Spring,No Holiday,Yes,283
31/05/2018,1,15.5,82,1.5,513,12.4,0.0,0.0,0.0,Spring,No Holiday,Yes,610
12/05/2018,2,15.5,62,1.0,730,8.2,0.0,0.0,0.0,Spring,No Holiday,Yes,416
10/01/2018,12,-5.6,44,4.5,1830,-15.9,1.1,0.0,0.5,Winter,No Holiday,Yes,217
